tags,ner_tags,GPT_predicted_tags,AttentionEncoderCRFPrediction
"['Glen', 'Rice', '(', 'Miami', 'Heat', ')']","['B-PER', 'I-PER', 'O', 'B-ORG', 'I-ORG', 'O']","['B-PER', 'I-PER', 'O', 'B-ORG', 'I-ORG', 'O']","['B-PER', 'I-PER', 'O', 'B-ORG', 'I-ORG', 'O']"
"['Dos', 'ejemplos', 'lo', 'constituyen', 'Circoviridae', ""''"", 'y', 'Parvoviridae', ""''"", ',', 'que', 'se', 'replican', 'en', 'el', 'núcleo', '.']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Ludwig', 'Mies', 'van', 'der', 'Rohe', '(', '1886–1969', ')']","['B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O']"
"['La', 'fase', 'final', 'se', 'realizará', 'en', 'Croacia', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"[""'"", ""''"", 'Club', 'Atlético', 'Platense', ""''"", ""'""]","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O']"
"['Tiempo', 'después', 'es', 'llevado', 'a', 'México', 'por', 'el', 'Club', 'Deportivo', 'Guadalajara', '.']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']"
"['Golfo', 'de', 'Onega']","['B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'O', 'I-LOC']","['B-LOC', 'I-LOC', 'I-LOC']"
"['Pasó', 'entonces', 'a', 'llamarse', ""''Sohail"", ""''"", '(', 'o', ""''Suhayl"", ""''"", ')', ',', 'al', 'igual', 'que', 'el', 'castillo', 'que', 'dominaba', 'la', 'población', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['José', 'de', 'Anchieta']","['B-PER', 'I-PER', 'I-PER']","['B-PER', 'O', 'B-PER']","['B-PER', 'I-PER', 'I-PER']"
"['She', ""'s"", 'a', 'Rainbow', ""''"", '(', '4:12', ')']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O']"
