tags,ner_tags,GPT_predicted_tags,AttentionEncoderCRFPrediction
"['Liege', '&', 'Lief', '(', 'Fairport', 'Convention', ')']","['B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'O']","['B-LOC', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']"
"[""C'est"", 'finalement', 'Shinzō', 'Abe', 'qui', 'est', 'élu', 'pour', 'lui', 'succéder', '.']","['O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[""'"", ""''"", 'Allemagne', ""''"", ""'""]","['O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'B-LOC', 'O', 'O']"
"['Liste', 'des', 'communes', 'de', ""l'Isère""]","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['O', 'O', 'O', 'O', 'B-LOC']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
"['Lac', 'Fundeni', '(', '123', 'ha', ')', ',']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O']"
"['Mercedes-Benz2', 'min', '02', 's', '0']","['B-ORG', 'O', 'O', 'O', 'O']","['B-ORG', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O']"
"[""'"", ""''"", 'Karachi', ""''"", ""'""]","['O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'B-LOC', 'O', 'O']"
"[""'"", ""''"", 'Eugenio', 'Montero', 'Ríos', ""''"", ""'""]","['O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'I-PER', 'O', 'O']"
"['La', 'Gare', 'de', 'Jordanhill', 'y', 'est', 'située', '.']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O']","['B-LOC', 'I-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O']","['O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O']"
"['Arrêté', 'et', 'condamné', 'à', 'mort', 'comme', 'complice', 'Hébert', ',', 'il', 'monta', 'sur', 'l’échafaud', 'avec', 'lui', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Zehnhausen', 'bei', 'Rennerod', '(', '415', ')']","['B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O']","['B-LOC', 'O', 'B-LOC', 'O', 'I-LOC', 'O']  ","['B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'O']"
"['Au', 'sens', 'large', ',', 'elles', 'sont', 'également', 'un', 'ensemble', 'des', 'Alpes', 'composé', 'des', 'Alpes', 'de', 'Gailtal', 'et', 'des', 'Préalpes', 'carniques', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O']","['B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'I-LOC', 'O', 'O', 'B-LOC', 'I-LOC', 'O']"
"[""'"", ""''"", 'Jataizinho', ""''"", ""'""]","['O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'B-LOC', 'O', 'O']"
"['Étangs', 'de', 'Vaux', 'et', 'de', 'Baye']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'O', 'B-LOC', 'O', 'O', 'B-LOC']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
"['Francis', 'De', 'Greef', 'Tim', 'De', 'Troyer', 'Thomas', 'Degand', 'Jan', 'Ghyselinck', 'Kévin', 'Van', 'Melsen', 'Frederik', 'Veuchelen']","['B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER', 'B-PER', 'I-PER', 'B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER']","['B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER', 'B-PER', 'B-PER', 'I-PER', 'B-PER', 'I-PER', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER']","['B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER', 'B-PER', 'I-PER', 'B-PER', 'I-PER', 'I-PER', 'B-PER', 'I-PER']"
"['Arrondissement', 'de', 'Darmstadt-Dieburg']","['B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'O', 'B-ORG']","['B-LOC', 'I-LOC', 'I-LOC']"
"['Pierre', '(', 'apôtre', ')']","['B-PER', 'I-PER', 'I-PER', 'I-PER']","['B-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'I-PER', 'I-PER']"
"['Henri', 'IV', 'de', 'Mecklembourg']","['B-PER', 'I-PER', 'I-PER', 'I-PER']","['B-PER', 'I-PER', 'O', 'B-LOC']","['B-PER', 'I-PER', 'I-PER', 'I-PER']"
"['Alliance', 'pour', 'la', 'majorité', 'présidentielle']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-ORG', 'O', 'O', 'O', 'O']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Francavilla', 'al', 'Mare']","['B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'O', 'I-LOC']  ","['B-LOC', 'I-LOC', 'I-LOC']"
"[""'"", ""''"", 'Masis', ""''"", ""'""]","['O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'B-PER', 'O', 'O']","['O', 'O', 'B-LOC', 'O', 'O']"
"[""'"", ""''"", 'Billie', 'Jean', 'King']","['O', 'O', 'B-PER', 'I-PER', 'I-PER']","['O', 'O', 'B-PER', 'I-PER', 'I-PER']","['O', 'O', 'B-PER', 'I-PER', 'I-PER']"
"['*par', 'Antoine', 'Mariotte', ',', ""''Chansons"", 'dramatiques', ""''"", '.']","['O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O']","['O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O']","['O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O']"
"['Arçay', '(', 'Cher', ')']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'O', 'B-LOC', 'O']","['B-LOC', 'O', 'B-LOC', 'O']"
"['│', '├──', '>', 'Charles', 'Wilfrid', 'de', 'Bériot']","['O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER']","['O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER']","['O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER']"
"['Il', 'Popolo', ""d'Italia""]","['B-ORG', 'I-ORG', 'I-ORG']","['B-LOC', 'B-ORG', 'I-ORG']","['B-ORG', 'I-ORG', 'I-ORG']"
"['Jeux', 'olympiques', 'de', 'canoë-kayak', 'course', 'en', 'ligne', '2004', 'à', 'Athènes', '(', ')']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-LOC', 'O', 'O']","['B-MISC', 'I-MISC', 'O', 'B-MISC', 'I-MISC', 'O', 'I-MISC', 'O', 'O', 'B-LOC', 'O', 'O']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-LOC', 'O', 'O']"
"[""'"", ""''"", 'Benoni', 'Beheyt', ""''"", ""'""]","['O', 'O', 'B-PER', 'I-PER', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'O', 'O']  ","['O', 'O', 'B-PER', 'I-PER', 'O', 'O']"
"['Équipe', 'de', 'France', 'de', 'Fed', 'Cup']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['B-ORG', 'O', 'I-ORG', 'O', 'B-ORG', 'I-ORG']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Noriko', 'Mizoguchi', '(', 'JPN', ')']","['B-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'B-LOC', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O']"
"[',', 'NSDAP', ',', 'Wahlkreis', '7', '(', 'Breslau', ')']","['O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['O', 'B-ORG', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['Universal', 'Creative', '/', 'Industrial', 'Light', '&', 'Magic']","['B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-ORG', 'I-ORG', 'O', 'I-ORG', 'I-ORG', 'O', 'I-ORG']","['B-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Tamba', '(', 'Hyōgo', ')']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'O', 'B-LOC', 'O']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
"['Durant', 'cette', 'période', ',', 'il', 'obtient', 'également', 'sa', 'première', 'sélection', 'avec', 'les', 'Diables', 'Rouges', 'en', 'face', 'à', 'la', 'France', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'B-ORG', 'O']"
"['La', 'compétition', 'met', 'aux', 'prises', '156', 'clubs', 'amateurs', 'et', 'professionnels', 'à', 'travers', 'la', 'Turquie', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']","['O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'O']"
"['Il', 'participe', 'à', 'insurrection', 'de', 'janvier', '.']","['O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']"
"[""'"", ""''"", 'Jana', 'Novotná', ""''"", ""'""]","['O', 'O', 'B-PER', 'I-PER', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'O', 'O']"
