tags,ner_tags,GPT_predicted_tags,AttentionEncoderCRFPrediction
"['Twillingate', ',', 'Newfoundland', 'and', 'Labrador']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-LOC', 'O', 'B-LOC', 'O', 'B-LOC']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
"['Moulins', ',', 'Allier']","['B-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'O', 'B-LOC']","['B-LOC', 'I-LOC', 'I-LOC']"
"['Sacramento–Roseville–Arden-Arcade', ',', 'CA', 'Metropolitan', 'Statistical', 'Area']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-LOC', 'O', 'O', 'O', 'O', 'I-LOC']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Noel', 'Howlett', '-', 'Lawyer']","['B-PER', 'I-PER', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O']"
"['William', 'Devane', '-', 'Knots', 'Landing', ""''""]","['B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O']","['B-PER', 'I-PER', 'O', 'B-LOC', 'I-LOC', 'O']","['B-PER', 'I-PER', 'O', 'B-LOC', 'I-LOC', 'O']"
"['After', 'being', 'fired', 'by', 'Max', 'Reinhardt', '(', 'publisher', ')', 'he', 'received', '£1,000', 'compensation', 'and', 'a', 'job', 'offer', 'from', 'Sidney', 'Bernstein', ',', 'of', 'ITV', 'Granada', '–', 'who', 'then', 'had', 'second', 'thoughts', '.']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'I-PER', 'I-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Do', ""n't"", 'Tell', 'Me', 'You', 'Do', ""''""]","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-ORG', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O']"
"['Dutch', '(', 'disambiguation', ')']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-MISC', 'O', 'O', 'O']  ","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['They', 'became', 'known', 'as', 'the', 'Tolpuddle', 'Martyrs', '.']","['O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-MISC', 'O']","['O', 'O', 'O', 'O', 'O', 'B-LOC', 'O', 'O']"
"['The', 'area', 'was', 'traditionally', 'part', 'of', 'Lower', 'Styria', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'I-LOC', 'O']"
"['Paul', 'Silas', '(', '15', ')']","['B-PER', 'I-PER', 'O', 'O', 'O']","['B-PER', 'I-PER', 'O', 'O', 'O']  ","['B-PER', 'I-PER', 'O', 'O', 'O']"
"['Fantastic', 'Four', 'Starter', 'Deck', ""''""]","['B-PER', 'I-PER', 'O', 'O', 'O']","['O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O']"
"['Nashville', 'warbler', ',', ""''Oreothlypis"", 'ruficapilla', ""''"", '(', 'A', ')']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-LOC', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O']","['B-LOC', 'I-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['*Doubles', ':', 'Wayne', 'Ferreira', '/', 'Yevgeny', 'Kafelnikov', 'defeated', 'Paul', 'Haarhuis', '/', 'Sandon', 'Stolle', ',', '6–3', ',', '2–6', ',', '6–1']","['O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O', 'O']"
"[""''"", 'Natrona', 'County', ""''"", ""'"", '(', 'Arminto', ',', 'Hiland', ',', 'Natrona', ')']","['O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O']","['O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O']","['O', 'B-LOC', 'I-LOC', 'O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'B-LOC', 'O']"
"['Right', 'Wing', 'of', 'the', 'Republic']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['O', 'O', 'O', 'O', 'B-ORG']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Sinfonietta', '(', 'symphony', ')']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-MISC', 'O', 'O']  ","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Centre', 'for', 'Economic', 'Policy', 'Research']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-ORG', 'O', 'I-ORG', 'I-ORG', 'I-ORG']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']"
"['Spadzinski', 'received', '10,909', 'votes', '(', '25.56', '%', ')', 'in', '1997', ',', 'finishing', 'third', 'against', 'Liberal', 'incumbent', 'Andy', 'Mitchell', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-PER', 'I-PER', 'O']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-PER', 'I-PER', 'O']","['B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'B-PER', 'I-PER', 'O']"
"['Richard', 'Berry', 'Harrison']","['B-PER', 'I-PER', 'I-PER']","['B-PER', 'I-PER', 'I-PER']","['B-PER', 'I-PER', 'B-PER']"
"['On', '23', 'July', '1437', 'he', 'was', 'summoned', 'to', 'attend', 'the', 'funeral', 'of', 'Queen', 'Joan', 'at', 'Canterbury', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'B-LOC', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'B-LOC', 'O']"
"['Iness', 'Chepkesis', 'Chenonge']","['B-PER', 'I-PER', 'I-PER']","['B-PER', 'I-PER', 'I-PER']","['B-PER', 'I-PER', 'I-PER']"
"['He', 'died', 'in', 'Shifnal', ',', 'Shropshire', 'at', 'the', 'age', 'of', '38', '.']","['O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-LOC', 'O', 'B-LOC', 'O', 'O', 'O', 'O', 'O', 'O']"
"[""''Legacy"", ""''"", '(', 'The', 'Temptations', 'album', ')', ',', '2004']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O']","['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O']"
"[""'"", ""''"", 'Asley', 'González', ""''"", ""'""]","['O', 'O', 'B-PER', 'I-PER', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'O', 'O']","['O', 'O', 'B-PER', 'I-PER', 'O', 'O']"
"['América', 'Futebol', 'Clube', '(', 'AL', ')']","['B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG']","['B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-LOC', 'O']","['B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O']"
"['Bluff', 'Dale', 'Independent', 'School', 'District']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']","['B-LOC', 'I-LOC', 'B-ORG', 'I-ORG', 'I-ORG']","['B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
